gender,age_group,Sociability,Assertiveness,Energy Level,Compassion,Respectfulness,Trust,Organization,Productiveness,Responsibility,Anxiety,Depression,Emotional Volatility,Intellectual Curiosity,Aesthetic Sensitivity,Creative Imagination,level_of_care,effect_on_usage,text_opinion
female,25-40,3.5,3.6,2.8,3.8,3.8,2.7,3.5,3.2,3.1,4.2,3.7,4.2,4.7,3.7,3.5,7,2,"I think this product is useful for daily tasks."
female,Under 25,2.8,2.7,3.1,3.5,4.1,4.5,3.7,3.1,3.5,2.4,1.8,1.7,4.6,5.0,4.2,4,-1,"Not sure yet—need to try it longer."
female,40+,3.3,3.8,3.7,3.9,4.7,3.7,5.0,5.0,4.7,3.0,1.9,2.6,3.8,2.9,4.2,9,4,"Helps me stay organized; would recommend."
female,40+,2.7,2.7,3.3,3.4,3.8,2.7,3.4,4.0,3.1,3.1,4.1,3.0,3.9,3.1,3.8,5,0,"A bit expensive but the quality is good."
male,25-40,4.9,3.4,4.1,3.9,4.1,2.9,3.2,3.3,2.6,3.7,2.3,3.2,4.1,3.1,4.6,8,3,"Wish it had better support for my use case."
female,Under 25,4.5,4.0,3.6,3.3,4.2,3.5,4.2,3.1,3.2,3.4,1.8,2.9,4.2,2.9,2.8,6,-2,"I think this product is useful for daily tasks."
female,25-40,2.8,2.9,2.5,4.3,4.8,5.0,4.1,3.8,3.6,3.1,2.4,2.9,4.2,3.2,2.5,3,1,"Not sure yet—need to try it longer."
female,Under 25,3.6,2.9,3.7,2.9,4.5,2.9,3.7,3.9,4.7,3.8,1.8,2.6,3.2,3.2,3.6,7,2,"Helps me stay organized; would recommend."
male,Under 25,2.2,3.1,2.9,3.9,5.0,3.7,3.3,3.1,3.0,1.2,1.6,1.0,4.6,4.7,3.8,2,-3,"A bit expensive but the quality is good."
female,25-40,4.1,4.2,2.9,4.3,3.6,3.1,2.2,3.1,3.0,4.4,2.5,3.4,5.0,4.0,4.7,10,5,"Wish it had better support for my use case."
female,25-40,3.3,2.3,2.9,3.0,4.1,2.5,3.3,1.9,3.3,4.5,4.4,4.8,3.4,2.7,2.0,4,-1,"I think this product is useful for daily tasks."
female,40+,2.1,2.8,3.9,4.2,4.9,3.2,4.3,4.0,4.8,4.5,2.8,3.9,3.9,3.8,4.5,8,3,"Not sure yet—need to try it longer."
female,Under 25,2.6,4.1,3.7,5.0,4.2,3.5,3.6,3.3,3.6,2.0,3.8,3.3,4.3,5.0,4.0,5,0,"Helps me stay organized; would recommend."
female,Under 25,1.5,2.5,4.5,3.8,4.8,5.0,4.4,4.5,5.0,3.2,3.4,1.8,3.3,4.6,2.7,6,1,"A bit expensive but the quality is good."
female,25-40,3.2,2.9,3.5,4.9,4.7,3.6,2.2,3.0,3.2,2.6,2.7,1.9,4.3,4.4,4.7,9,4,"Wish it had better support for my use case."
male,Under 25,2.7,3.0,2.1,3.0,3.1,4.1,3.0,2.4,2.8,3.9,3.8,3.2,4.6,3.6,3.5,1,-4,"I think this product is useful for daily tasks."
female,Under 25,2.0,2.1,2.7,4.3,5.0,3.4,3.6,3.0,3.2,3.6,2.8,2.5,2.3,3.0,2.6,3,-2,"Not sure yet—need to try it longer."
male,25-40,1.2,3.4,4.2,4.6,3.6,3.3,3.0,3.5,3.4,4.0,3.3,3.1,4.7,4.3,5.0,7,2,"Helps me stay organized; would recommend."
female,Under 25,2.9,2.3,2.4,3.3,2.9,2.7,2.2,1.4,2.7,3.7,3.5,2.3,3.6,3.8,4.3,0,-5,"A bit expensive but the quality is good."
female,25-40,1.1,2.2,3.1,4.9,4.5,3.4,3.2,4.0,4.5,3.9,4.6,2.9,3.9,3.7,3.4,5,0,"Wish it had better support for my use case."
