gender,age_group,Sociability,Assertiveness,Energy Level,Compassion,Respectfulness,Trust,Organization,Productiveness,Responsibility,Anxiety,Depression,Emotional Volatility,Intellectual Curiosity,Aesthetic Sensitivity,Creative Imagination
male,40+,2.699818445504465,2.6682296677487605,3.610046716970565,5.0,5.0,4.468818323704605,2.388690712932541,1.9685527704901218,3.119609943312396,4.045935586354006,3.1163660372043314,3.906311288526015,4.102521135370708,4.065457509514937,4.55554976788062
female,40+,3.9513984373377875,3.6371541317985825,4.838620739653442,4.006684468344601,3.911193429079119,2.283637247559043,2.761006253312604,3.352850245503594,3.2022727071603794,3.8435938948819173,4.02895313424511,2.78498445858048,3.2165655840308873,4.132140719873072,3.684859407202503
male,18-40,4.059606335404922,2.697388695286529,3.526406957982879,2.2930352911035206,3.0643911351826048,1.7113838974860507,2.2003024825897306,2.2707539462738984,2.7304459041189353,4.1622708784516265,3.1097701114140897,3.8496457596192197,4.713623601387677,3.466535647968703,2.8989808737021683
male,18-40,3.2694349436753485,3.2669927642359453,3.89533828349179,2.7652245962647144,4.160437387828019,2.6175216801099324,4.344702963215722,3.46974217989779,3.785741613395962,4.802539015230075,3.400056891286753,4.079467719136036,3.3386817095514134,2.9285966189112855,3.585055065623423
female,Under 18,2.2826857840665222,2.976109486354081,1.593417384822551,4.26480657124835,3.6145045003559,3.197714424055895,2.7632069440589007,2.3295700525313876,3.0278599897104055,2.7445730191619546,3.503641232215311,3.8587608113303222,3.3164056151365866,3.5323100695702827,3.228743654614412
male,18-40,2.1580459925701465,3.8040092473580454,3.538644544147369,5.0,4.7077658289457,3.515590645232383,5.0,5.0,5.0,2.949734680227924,3.291035210112364,3.2643493611756833,3.9415665184390147,4.392225624483265,3.340801098098921
male,18-40,1.9534126716477265,2.977813608973723,2.535687081491698,3.092235596723042,2.5420292714317347,1.8379414614629868,3.3516563434955806,3.092259653925778,3.078340813154639,3.328797623996553,3.379324561937432,2.942604174402729,3.374262923939327,1.0,2.3250341401567756
male,18-40,2.5853663765894686,2.47390260418342,2.2783250107908795,2.5805819520669617,4.286609181347525,2.759654636502664,2.6641088696570474,4.161915006160551,2.813285359437902,3.944928710113055,2.1566384285048965,2.325048926321794,4.163373138387192,5.0,2.929327349176701
female,18-40,2.8555961317354774,2.181427370884599,2.7067319845509275,3.2295762579326963,3.469604645729129,3.383795913314982,2.4930960069013994,1.6753917870285,3.1104461103006313,5.0,5.0,5.0,3.273424600263803,3.1821398323568397,3.032664354052854
female,18-40,4.844612409625034,5.0,4.407197077010672,4.26784745410852,3.982909375066476,3.3014019111575443,3.165352951912256,3.6455111661380246,2.8320817096098843,3.4762649062869833,2.26329733744437,2.7460902749758263,3.60794122064435,2.6016110220403466,4.589367927907206
female,18-40,4.872752657258896,4.025945085501036,5.0,4.996489925946225,4.238641109964912,4.024777616867462,4.3878481689126545,4.363832258039088,4.350699363301403,4.698610149242665,3.564344527529683,4.7917300681874355,3.7452250726086174,4.926459782341263,4.346441469719922
male,18-40,2.722105752986802,1.5901020096037146,3.2819867670487177,3.374013818783889,3.4340220181907477,3.491891896861184,1.4954218364923084,2.2583296822352885,2.7311333046597945,3.0168815390539017,2.6192284160649466,2.052009294529168,4.384070751988768,4.030596299349647,3.4700365373920348
male,18-40,3.561002773392326,2.089166820033282,3.2971218521732744,3.910415441226948,5.0,3.348093009485922,3.241740561368772,2.790983441800809,4.223868662940146,2.765573670510154,2.747714020372577,2.650842325720032,4.112516232787499,2.8594063155292293,3.443231014739328
male,40+,3.477244586649072,4.126039495706005,3.4915639506134717,2.774116236489082,3.9164584650677976,2.2061300354586013,5.0,3.8498388765127225,3.371248509992348,3.089568630740391,1.2203131694434255,1.7126133988790004,5.0,3.473011969005233,4.653613196268941
female,40+,3.5076481319645207,3.6373923256157665,3.6693554367932393,4.4489998869437155,4.481596550648799,3.736329613658966,3.0366453949106718,3.271158697485773,4.077180281025111,2.994300376087847,2.51348597107709,2.980334244479003,5.0,5.0,4.344204948452164
female,40+,2.2906225212342917,2.1664072305457567,3.010838649192466,4.849750062659564,5.0,4.374886810170988,3.6262564270351003,2.9494136522594063,4.192669117814874,3.6887012459302864,3.5175228849262847,2.6315588399556273,4.1484898446407605,2.9091923230168817,3.7844860461499756
male,18-40,2.5314361067320754,4.515171385368209,4.175226520291781,3.550699015585637,4.267345926339202,2.6386680317496487,2.3626438927004134,4.586275347769709,4.479070339428225,3.8947046239313874,3.7244301424369004,2.7586861917301193,5.0,5.0,5.0
female,18-40,3.231336277344093,3.6750574820759434,4.522970378611554,3.6826641233570627,3.2701851014572925,3.346427906146767,1.7866952389037856,2.4062218538948876,2.5115311224118755,4.694436287472346,2.6934883449807745,4.429068510217558,5.0,4.296513416789578,3.9479521486242257
male,40+,3.4158238453563383,2.7844714195480567,4.567063619764828,5.0,5.0,3.7176019887627563,2.656709597036751,3.1021098153287197,2.286417527548163,2.760996657016217,1.8920333705061911,1.4665958275785342,3.8403698199414453,3.4249330873521826,4.355915222647317
male,18-40,2.0600843764843733,4.153496507341185,2.85626330341632,3.710381455496726,3.868704588799375,2.021803927781691,3.768571777231222,3.97661731510866,4.352235358684696,3.938287888551884,2.840506060977785,3.6177182619361026,4.44688249430793,2.1916271149090925,3.369579439704443
male,18-40,3.624952176909462,3.5169680611316885,3.782037654841745,3.6350527023887786,3.154340800727686,2.1524512660285007,2.104856661544531,3.5966749555299846,2.3792552473376496,4.242681033878197,4.791412790692646,2.8169679507405605,4.629431456300519,4.958243800905043,3.8065248224084485
female,18-40,3.723146403842304,2.8901296883643455,3.037362236073337,3.6597366829542683,4.611464881533962,3.999221240095299,4.214304896367441,3.7849261122442845,4.012772281703135,3.174786480649002,2.76785570328435,2.967510738111073,2.8689764309568666,2.921036045863109,2.9282352515920076
male,18-40,3.368533204660776,3.9608302172212846,5.0,4.217839344862664,4.590174856445582,3.8130079514363286,2.8407189246955236,4.973228636342718,4.064751685724799,3.875418666345862,1.0,2.028242621040238,5.0,4.337269583884546,4.730583142498365
male,40+,3.16696995734162,3.5703117547961916,3.1933989258904,3.748801686553745,3.099765521269127,2.58441324312909,1.8045298473424505,3.945270109311962,4.116598115994061,3.4277783888189224,2.5310273255121976,3.0124048078588133,4.312120211676323,4.200815287158035,3.4445414206831537
male,18-40,1.1929820915210798,3.0488719016410446,2.824161106792168,3.666076789039333,3.0980996085761854,3.4149025936309068,3.4247851476420212,1.5928247164509783,1.8722867691130043,4.934501573601645,4.2645603702307024,4.512925990206999,4.751496705648684,3.914687422843236,4.178330213897798
female,40+,3.6713543169752674,3.2500329935188352,3.6209937842452553,3.864143891749281,4.307825088165033,4.637652153104659,1.9785707047027472,1.4882490470213001,3.5469944148804777,4.96454627700194,2.8072879235596857,3.616416596403448,3.4197264503975022,3.195951603238302,3.761778639490381
female,Under 18,3.7632468700617006,4.195192960125933,3.492100375772953,5.0,4.822997397020092,4.070932417083247,3.8523349568093326,4.217891161648624,3.887400004992336,2.366897685249854,2.5546126611509967,2.8304969275116374,5.0,5.0,4.172790693071927
female,18-40,3.170519561470389,4.0950194321043805,4.579337160424355,5.0,4.460941424653016,4.062919690126702,3.658935376696016,3.5292107375543815,4.078113795371647,2.3114878844309668,2.7186265980069546,2.19131120976608,5.0,4.936818761380294,5.0
